iter	Passed	Remaining
0	119	119410
1	120	60260
2	122	40628
3	124	30952
4	125	24902
5	128	21286
6	129	18383
7	131	16352
8	133	14664
9	134	13312
10	135	12143
11	135	11174
12	136	10357
13	137	9670
14	138	9094
15	139	8566
16	140	8107
17	140	7681
18	141	7311
19	142	6969
20	142	6665
21	143	6390
22	144	6149
23	145	5921
24	146	5702
25	146	5497
26	147	5307
27	147	5131
28	148	4967
29	148	4814
30	149	4674
31	152	4603
32	153	4489
33	154	4387
34	154	4272
35	155	4166
36	156	4067
37	156	3972
38	157	3882
39	158	3796
40	158	3715
41	160	3652
42	160	3579
43	161	3508
44	162	3440
45	162	3375
46	163	3313
47	164	3253
48	164	3197
49	165	3150
50	166	3105
51	167	3058
52	168	3013
53	169	2966
54	169	2920
55	170	2875
56	171	2833
57	171	2791
58	172	2750
59	173	2711
60	174	2688
61	175	2652
62	175	2615
63	176	2581
64	177	2546
65	177	2513
66	178	2481
67	178	2450
68	179	2424
69	180	2402
70	181	2377
71	182	2351
72	183	2324
73	183	2297
74	184	2273
75	184	2247
76	185	2222
77	185	2198
78	186	2175
79	187	2152
80	187	2129
81	188	2110
82	189	2089
83	189	2068
84	190	2048
85	190	2028
86	191	2009
87	192	1993
88	192	1975
89	193	1957
90	194	1943
91	195	1930
92	196	1913
93	196	1896
94	197	1880
95	197	1864
96	198	1849
97	199	1834
98	199	1818
99	200	1804
100	200	1789
101	201	1774
102	202	1760
103	202	1746
104	203	1734
105	204	1725
106	205	1712
107	205	1699
108	206	1687
109	206	1674
110	207	1661
111	208	1650
112	208	1637
113	209	1626
114	210	1617
115	210	1607
116	211	1596
117	212	1586
118	212	1575
119	213	1565
120	213	1554
121	214	1542
122	214	1532
123	215	1522
124	216	1513
125	216	1503
126	217	1492
127	217	1483
128	218	1473
129	219	1468
130	220	1460
131	220	1450
132	221	1441
133	221	1432
134	222	1423
135	222	1414
136	223	1406
137	223	1397
138	224	1390
139	225	1384
140	226	1378
141	226	1369
142	227	1362
143	227	1354
144	228	1346
145	228	1339
146	229	1331
147	229	1323
148	230	1317
149	231	1310
150	231	1303
151	232	1296
152	232	1289
153	233	1284
154	234	1278
155	235	1271
156	235	1265
157	236	1258
158	236	1251
159	237	1245
160	237	1237
161	238	1231
162	238	1225
163	239	1218
164	239	1212
165	240	1206
166	240	1201
167	241	1197
168	242	1192
169	243	1186
170	243	1181
171	244	1175
172	244	1169
173	245	1164
174	245	1158
175	246	1152
176	246	1147
177	247	1142
178	247	1136
179	248	1131
180	249	1131
181	250	1126
182	251	1120
183	251	1115
184	252	1110
185	252	1105
186	253	1100
187	253	1095
188	254	1090
189	254	1087
190	256	1084
191	256	1080
192	257	1076
193	258	1071
194	258	1067
195	259	1064
196	260	1060
197	260	1056
198	261	1052
199	262	1048
200	262	1044
201	263	1040
202	264	1038
203	265	1035
204	265	1031
205	266	1026
206	266	1022
207	267	1018
208	267	1014
209	268	1009
210	268	1005
211	269	1002
212	270	999
213	271	995
214	271	992
215	272	989
216	273	987
217	274	983
218	274	979
219	275	975
220	275	971
221	276	967
222	276	964
223	277	960
224	277	956
225	278	952
226	278	948
227	279	947
228	280	943
229	280	940
230	281	936
231	281	932
232	282	929
233	282	925
234	283	922
235	283	919
236	284	915
237	284	912
238	285	908
239	286	906
240	286	903
241	287	900
242	288	897
243	288	895
244	289	892
245	290	889
246	290	886
247	291	883
248	291	880
249	292	877
250	293	874
251	293	871
252	294	870
253	295	867
254	296	864
255	296	861
256	297	858
257	297	855
258	298	852
259	298	849
260	299	846
261	299	844
262	300	842
263	301	840
264	302	838
265	302	835
266	303	833
267	303	830
268	304	827
269	305	824
270	305	821
271	306	819
272	306	816
273	307	813
274	307	810
275	308	807
276	308	805
277	309	803
278	310	802
279	311	799
280	311	797
281	312	794
282	312	791
283	313	789
284	313	786
285	314	784
286	314	781
287	315	780
288	316	778
289	317	776
290	317	774
291	318	772
292	319	769
293	319	767
294	320	765
295	320	762
296	321	760
297	321	757
298	322	755
299	322	753
300	323	750
301	323	748
302	324	746
303	325	745
304	326	742
305	326	740
306	327	738
307	327	736
308	328	733
309	328	731
310	329	729
311	329	726
312	330	725
313	331	723
314	332	722
315	333	721
316	333	719
317	334	717
318	334	714
319	335	712
